time,youngV,youngU,midV,midU,agedV,agedU,oldV,oldU
14,60,558,25,251,13,219,18,153
15,58,568,24,259,13,241,19,152
16,53,469,20,221,12,216,17,142
17,45,432,16,192,11,193,18,127
18,33,357,12,167,9,172,15,113
19,23,305,9,149,8,161,13,120
20,18,235,8,113,7,127,11,86
21,14,176,6,88,6,104,10,66
22,11,144,5,73,5,84,8,56
23,11,128,5,64,5,77,8,48
24,11,133,5,65,5,78,9,54
25,15,141,6,67,7,79,9,48
26,22,194,9,87,9,101,12,66
27,36,294,15,109,13,144,17,83
28,66,488,27,210,24,228,30,132
29,113,779,48,343,44,367,52,203
30,180,1147,73,504,69,550,80,301
31,225,1393,96,648,90,713,104,383
32,245,1548,107,750,103,845,120,451
33,263,1601,117,784,111,912,129,473
34,285,1648,122,797,113,941,130,469
35,272,1513,115,723,109,881,121,426
36,260,1371,111,673,105,804,120,411
37,237,1199,105,600,104,739,116,361
38,198,970,93,486,91,622,105,305
39,188,836,91,435,90,589,101,276
