time,18to29,18to29,30to49,30to49
14,30.71591547,282.5380562,29.60357639,275.9325636
15,29.50215265,284.6751694,28.39392692,283.7000657
16,25.90318375,226.5044166,26.84869253,242.7418168
17,22.59785349,212.3786753,22.82609383,219.2765031
18,16.33832242,171.9794728,16.58032686,185.4565906
19,11.65854792,145.3525959,11.68533492,160.0273653
20,8.076433494,111.1827207,9.802663635,123.6467482
21,6.295768581,81.54191106,7.43175541,94.67551281
22,4.952130395,65.77209562,6.230399491,77.73061632
23,5.204098853,59.76499552,5.916544243,68.66498525
24,5.28888367,63.30788004,6.160183437,69.21812425
25,6.561396325,66.8828888,8.246320486,74.21477702
26,9.415007786,92.04047575,12.77977237,102.3480762
27,16.84621409,142.1666008,19.63482657,151.5852616
28,30.09344333,237.6996526,36.33605904,249.866753
29,51.65892622,371.0678861,61.5852904,408.1123749
30,87.08836863,550.8426827,93.4062353,596.2816693
31,107.6141154,659.3951075,117.7368122,733.7435018
32,111.4146632,715.9349974,133.8429922,832.0067518
33,117.9954772,726.2428255,144.7795779,874.2951531
34,131.8124208,739.981148,152.9123229,908.0711789
35,131.1874248,688.3271535,141.1773604,824.4113751
36,125.5119344,610.8761276,134.6701916,760.1311818
37,110.9032255,536.1042676,126.4964019,662.7109202
38,86.08875124,424.7041043,112.1871394,545.0424989
39,79.6947461,361.8212946,107.9782366,474.5000462
