time,VaxIR,UnvacxIR
14,24.80559491,250.8756291
15,24.14027573,258.5623766
16,20.18614571,220.5942488
17,16.40065646,191.792141
18,12.17192342,166.7663871
19,9.314983813,148.9955032
20,7.80951059,113.1520508
21,6.096236794,88.04087717
22,5.403912049,72.91897628
23,5.451443671,64.07890404
24,5.467606661,65.48951098
25,6.461290632,67.35344789
26,9.125397945,87.22154476
27,14.73551639,109.0777785
28,26.88479225,210.0609401
29,48.23412393,343.3970577
30,72.62417941,504.1066022
31,96.10678942,647.913221
32,107.4176056,749.5003022
33,117.3731422,783.6730964
34,121.6469765,797.4866895
35,114.7396954,722.9648749
36,111.4649265,673.3550847
37,105.0899829,599.7990665
38,92.85545003,486.0722062
39,91.16178976,434.5624414
